idpub,CESD,Marital_status,School_rank,IQ,SE_status_parents,Town_population,Agreeableness,Conscientiousnes,Extraversion, Neuroticism,Openness,Kidsno,Years_of_education,Age_at_first_birth,Autonomy,Self_Acceptance,No_emp_spell,Social_part_1,Family_Stress,additional_child,trt
900075,10,1,77,123,3,4,28,30,14,18,21,2,12,198,27,40,1,0,8,0,0
900177,54,1,83,120,10,4,22,24,21,17,23,3,13,231,27,29,3,4,12,0,0
900181,7,1,90,101,4,2,34,32,29,21,22,5,16,205,31,36,1,4,8,0,0
900183,9,1,5,88,4,2,27,26,31,14,22,2,12,223,37,39,3,2,5,0,0
900218,102,1,99,117,20,6,33,29,13,14,19,4,12,213,35,27,2,1,6,0,0
900244,44,1,48,104,9,9,31,30,12,23,13,5,12,200,26,21,1,3,10,1,0
900252,14,1,84,127,26,9,25,30,24,15,29,2,16,242,35,30,4,2,19,0,0
900274,8,1,69,106,25,4,17,12,5,3,1,3,15,226,24,34,4,2,12,0,0
900316,11,1,75,111,14,2,32,25,21,9,17,3,12,199,26,34,1,1,9,0,0
900329,24,1,64,115,11,2,27,33,32,11,10,1,14,290,38,26,1,2,13,2,0
900353,24,1,91,120,12,6,23,27,30,21,24,2,13,196,32,34,3,5,10,0,0
900359,4,1,97,113,34,6,22,27,20,19,25,2,15,245,38,26,4,1,10,0,0
900365,27,1,68,106,6,2,31,28,21,18,15,2,12,312,31,30,3,1,10,1,0
900382,7,1,74,123,22,6,34,31,28,18,14,4,12,215,38,36,3,1,8,0,0
900384,36,1,32,101,11,3,27,23,17,22,23,4,12,214,26,31,2,2,12,0,0
900389,8,1,54,87,16,6,34,36,25,19,22,1,16,290,21,38,1,5,12,0,0
900397,1,1,47,94,23,4,36,33,29,13,21,3,12,203,33,41,2,3,6,0,0
900424,46,1,96,104,10,9,23,33,19,24,17,2,13,195,33,25,3,0,7,0,0
900476,4,1,62,111,10,5,31,30,22,16,20,4,12,197,28,30,1,1,8,0,0
900511,13,1,12,86,13,2,26,26,23,15,20,2,12,215,21,36,2,1,10,0,0
900537,10,1,96,115,10,4,36,36,30,6,32,3,13,190,39,41,2,3,10,0,1
900572,30,1,80,112,19,9,36,24,19,17,21,4,15,238,30,35,1,4,12,1,0
900579,5,1,98,111,44,6,29,31,22,16,25,3,17,245,39,42,1,5,7,0,0
900581,2,1,54,106,3,5,36,36,21,9,21,6,12,219,42,42,1,1,8,0,0
900623,24,1,62,98,17,6,34,27,10,18,15,4,12,210,37,36,1,1,12,0,1
900630,10,1,61,118,14,2,33,28,14,20,24,2,13,245,28,38,4,2,4,0,0
900676,44,1,9,82,20,4,34,28,17,23,25,3,15,230,23,26,3,1,9,0,1
900724,24,1,62,124,19,3,24,26,18,18,23,4,14,252,32,32,1,1,8,0,0
900741,16,1,8,86,15,2,24,24,24,18,19,2,12,221,34,33,0,2,10,0,0
900751,24,1,14,86,14,7,27,26,28,18,22,1,12,305,33,25,2,1,8,0,0
900764,13,1,32,85,14,9,36,28,23,17,16,6,12,234,32,27,0,2,8,0,0
900773,1,1,63,106,26,4,35,26,32,9,26,1,16,268,24,37,3,3,10,4,0
900814,12,1,89,107,8,3,28,27,17,17,19,6,12,213,26,30,1,3,14,0,0
900843,11,1,86,93,3,6,27,27,31,14,31,3,14,217,36,40,2,5,4,2,0
900846,37,1,33,92,3,4,26,22,11,20,19,2,13,267,23,20,2,0,12,0,0
900859,37,1,73,98,5,6,30,31,27,19,15,3,12,212,26,31,2,6,8,0,1
900873,14,1,92,109,15,2,34,35,26,12,23,2,12,240,32,28,2,2,14,0,0
900918,13,0,26,91,24,4,34,33,22,14,25,3,13,229,32,32,3,3,10,3,0
900977,23,1,58,103,5,3,26,28,22,17,16,3,12,224,23,31,3,4,9,0,0
900979,0,1,67,99,3,4,34,32,21,11,18,4,12,210,35,36,2,4,4,0,0
900995,38,1,81,125,9,3,32,30,19,7,19,2,13,272,32,33,8,2,8,0,0
900999,16,1,73,97,3,4,35,28,22,18,17,2,12,277,29,35,1,0,11,0,0
901006,2,1,89,102,5,5,27,36,14,15,18,4,12,230,24,31,2,3,5,0,0
901021,32,1,73,94,9,3,31,24,19,21,17,4,12,195,26,29,1,5,9,0,0
901031,11,1,89,125,7,4,29,21,22,16,20,3,12,230,23,29,6,4,14,0,0
901048,45,1,56,93,1,2,23,24,20,18,16,6,12,212,25,22,2,2,12,1,0
901057,6,1,87,127,14,9,33,22,21,11,29,3,17,212,34,33,1,3,5,0,1
901088,21,1,50,78,3,4,18,12,3,10,8,2,12,197,21,35,2,5,10,0,0
901105,5,1,96,113,13,4,29,32,30,18,29,2,17,329,38,35,1,2,6,0,0
901123,30,1,52,96,8,6,33,34,25,18,20,4,12,215,29,33,1,1,12,0,0
901125,18,1,91,118,4,2,27,27,27,18,18,4,12,190,14,12,4,3,12,0,1
901168,22,1,76,115,2,9,29,34,15,19,14,2,12,238,27,30,1,0,9,0,0
901178,9,0,38,106,9,2,33,28,34,18,33,3,12,244,32,41,3,6,8,3,1
901192,8,1,82,118,13,2,31,34,17,8,21,5,13,200,27,28,1,3,10,0,0
901217,7,1,36,124,4,3,29,30,27,16,18,3,12,201,28,28,1,3,14,0,1
901238,2,1,7,67,9,9,27,28,23,19,24,4,12,204,33,33,1,1,10,0,0
901244,8,1,8,99,6,3,33,36,28,15,18,5,12,197,36,37,1,0,11,0,0
901326,14,1,52,96,10,3,27,24,27,18,14,1,12,214,28,33,1,2,5,0,0
901327,34,1,75,118,19,4,28,32,15,12,23,3,16,224,32,31,1,4,13,3,0
901330,20,1,43,91,27,3,16,21,22,19,16,3,14,240,35,30,2,3,5,0,0
901402,10,1,65,75,6,6,35,30,27,16,23,2,14,309,41,29,2,1,11,0,0
901404,13,1,63,106,5,5,34,27,25,14,22,2,15,231,28,40,2,3,8,0,0
901436,1,1,95,117,22,4,36,33,26,10,33,3,14,219,40,41,7,3,8,0,0
901441,20,1,32,96,13,7,34,27,23,21,19,6,12,204,37,37,2,3,6,0,0
901464,1,1,10,87,19,6,32,31,32,16,15,3,12,234,30,38,8,2,6,0,1
901510,7,1,89,117,3,7,31,25,22,6,24,3,16,223,35,39,2,5,8,0,0
901514,9,1,36,91,17,4,34,34,24,12,23,5,12,186,32,35,2,6,8,0,0
901516,20,1,93,102,43,9,34,33,24,17,27,3,16,235,28,41,2,5,8,0,0
901529,11,1,83,121,38,6,32,27,24,15,30,3,16,235,31,39,7,4,9,0,0
901557,0,1,98,139,14,5,28,29,25,6,26,3,13,203,38,34,3,6,7,0,1
901629,7,1,54,102,5,2,28,35,26,16,23,4,13,209,32,34,2,2,12,0,0
901636,10,1,58,101,22,2,30,31,25,11,19,3,12,209,39,41,2,4,8,0,1
901639,0,1,87,103,19,6,32,32,15,12,18,4,12,207,32,36,1,3,8,1,0
901654,0,1,69,113,7,2,26,29,32,14,17,3,13,225,32,39,1,3,10,1,0
901742,27,1,3,83,32,9,34,33,27,24,14,2,14,286,25,31,1,3,5,0,0
901777,16,0,95,109,27,9,29,29,25,11,28,3,12,275,27,27,2,1,8,0,1
901793,7,1,85,101,10,5,27,32,29,9,16,5,12,218,32,38,3,3,7,0,0
901803,43,0,2,67,11,4,25,28,22,17,27,3,12,235,30,36,1,1,14,0,1
901820,25,1,48,92,6,6,24,27,22,15,15,4,12,214,29,32,1,2,10,0,0
901847,21,1,94,109,38,4,28,30,23,17,17,3,17,250,20,29,4,0,6,0,0
901876,54,0,23,96,6,5,28,30,16,26,11,2,13,214,15,25,2,1,5,0,0
901886,0,0,68,124,16,6,31,35,32,9,26,2,16,247,35,38,2,0,8,4,0
901894,28,1,51,79,10,4,24,22,20,22,22,4,12,210,27,33,1,3,15,0,0
901927,0,1,86,123,25,7,33,36,25,6,31,3,13,203,25,42,2,3,5,1,1
901944,21,1,44,101,16,4,30,28,23,11,16,3,16,258,32,34,1,5,7,0,0
901959,45,1,76,96,8,6,27,26,27,16,23,3,12,213,30,24,2,1,11,0,0
901961,27,1,31,87,6,2,6,6,5,6,1,2,13,195,25,38,2,2,4,0,0
902033,44,1,3,87,9,4,34,35,21,19,20,4,12,185,25,26,2,1,13,0,0
902062,34,1,7,103,13,7,32,30,27,17,23,2,13,247,24,20,3,3,10,0,0
902081,7,1,47,104,8,2,26,19,22,13,19,1,15,337,37,38,1,1,11,1,0
902098,19,1,64,112,13,6,24,25,22,18,25,3,12,225,24,37,4,0,10,0,0
902125,9,1,91,104,13,9,27,30,26,23,16,3,12,198,30,30,2,2,10,0,1
902134,33,1,0,73,6,2,31,28,22,18,18,3,12,202,22,31,2,0,14,0,0
902146,11,1,91,111,41,4,34,31,28,8,20,3,15,262,35,36,7,6,10,0,0
902151,8,1,68,97,11,7,34,36,20,14,28,2,12,241,41,41,3,1,9,0,0
902152,19,1,50,106,3,2,28,26,22,17,20,6,13,225,23,33,8,2,12,0,0
902169,18,1,91,109,24,9,34,35,24,13,26,4,15,261,37,36,9,2,5,0,0
902182,27,1,80,96,19,2,26,28,15,21,28,2,16,248,31,32,2,3,14,0,0
902195,29,1,6,79,18,5,31,29,26,14,16,1,12,216,34,34,2,0,8,0,0
902199,12,0,94,117,32,4,34,34,25,16,31,2,13,216,38,41,1,3,7,0,0
902204,14,1,74,117,13,2,31,33,21,15,18,2,12,220,27,31,3,5,8,0,0
902215,5,1,75,117,21,9,30,26,24,13,25,2,12,235,36,40,3,1,9,0,0
902252,11,1,68,103,21,4,31,31,18,20,19,3,16,266,22,35,3,2,8,0,1
902271,6,1,59,111,10,4,31,33,29,11,35,4,13,220,42,42,2,6,10,0,0
902281,9,1,11,92,11,9,34,31,23,9,25,2,13,257,35,36,2,2,10,0,0
902291,10,1,85,92,20,2,27,33,23,16,22,4,12,225,36,35,2,3,8,0,0
902298,2,1,99,121,18,4,28,33,28,17,19,2,16,260,35,41,1,3,12,0,0
902309,19,1,64,92,8,9,29,26,23,16,23,5,12,188,26,31,2,4,10,0,0
902326,11,1,71,103,8,5,34,30,20,16,23,6,12,218,36,38,2,0,5,0,0
902335,63,1,42,111,7,4,24,29,24,22,24,2,12,195,24,12,2,1,18,1,0
902358,25,1,62,104,25,4,25,30,22,15,16,2,12,260,28,19,4,4,11,0,0
902366,2,1,14,89,7,6,30,27,21,17,19,2,13,192,26,38,0,0,8,0,0
902370,18,1,95,97,26,7,28,35,27,14,26,3,15,224,32,33,4,4,5,0,1
902375,13,1,44,103,21,9,34,33,32,9,26,3,12,194,37,42,4,6,8,0,0
902381,9,0,40,103,27,3,34,32,24,25,15,5,12,196,32,37,1,1,8,0,0
902393,14,1,58,77,3,3,29,29,21,17,19,2,13,205,22,34,3,2,10,0,0
902418,7,1,74,124,17,5,27,26,30,11,30,5,12,190,41,23,2,1,9,0,0
902431,32,1,53,93,11,6,30,31,14,26,24,2,12,197,24,33,1,2,8,1,0
902501,0,1,79,106,18,4,32,33,21,20,20,2,17,259,32,42,2,1,8,0,0
902512,27,1,37,98,16,9,27,31,25,11,24,3,12,230,38,34,3,5,9,1,0
902519,30,1,56,86,9,4,25,27,26,25,9,5,12,193,25,26,0,1,11,0,0
902527,3,1,81,121,24,6,23,31,29,9,23,5,15,219,29,35,2,3,10,0,0
902531,6,1,7,81,14,4,23,29,19,23,20,4,12,199,28,25,1,1,13,0,0
902538,6,1,54,99,4,2,32,34,21,12,21,4,12,231,29,37,2,1,8,0,0
902542,13,1,93,112,13,8,26,36,30,17,23,2,12,254,29,33,3,5,11,0,0
902576,28,1,72,99,18,4,27,33,25,16,27,2,13,308,21,26,2,0,10,0,0
902602,0,0,90,118,6,2,30,30,12,7,17,1,13,288,35,35,1,0,7,0,0
902608,21,1,93,109,7,3,30,29,22,12,25,4,13,199,32,21,4,3,8,0,1
902615,2,1,58,109,15,4,32,30,28,13,22,4,12,191,37,37,2,1,8,0,0
902619,24,1,73,85,2,4,28,26,21,13,20,3,13,189,25,34,1,2,6,0,1
902622,9,1,74,109,11,3,24,28,23,14,19,6,15,235,34,37,2,3,13,1,0
902663,7,1,41,97,10,2,30,30,21,13,21,4,12,212,28,33,1,4,13,1,0
902697,9,1,99,139,19,4,33,27,14,20,22,4,13,198,29,36,1,0,13,0,0
902717,6,1,17,93,25,4,24,23,29,10,31,3,13,205,36,36,1,5,12,0,0
902720,3,1,19,83,15,8,36,36,22,17,23,2,12,200,38,41,2,1,7,0,0
902757,17,1,67,78,19,3,35,30,15,26,12,2,13,210,29,23,3,0,6,2,0
902774,14,1,19,109,36,9,29,33,34,15,17,3,14,230,33,32,4,1,7,0,0
902797,13,1,72,92,4,6,31,35,22,14,21,6,12,200,42,31,4,1,18,0,0
902810,13,1,81,123,19,7,34,36,19,11,21,3,13,205,28,39,7,1,4,0,0
902827,9,1,97,117,4,5,32,34,23,11,23,2,12,347,32,40,1,3,12,0,0
902833,49,1,48,99,6,4,27,26,22,22,24,3,12,202,27,20,7,4,13,0,1
902860,10,1,80,109,3,5,27,34,15,22,19,4,12,243,22,32,2,1,9,0,0
902869,13,1,17,73,10,4,30,32,23,15,12,3,12,218,30,32,0,2,5,0,0
902871,4,1,82,106,18,9,34,34,23,15,26,5,12,208,29,38,2,2,11,2,0
902889,6,1,99,118,41,4,27,33,26,15,26,2,18,206,35,42,2,7,12,0,0
902924,1,0,73,118,24,9,24,31,25,13,31,2,19,262,35,40,1,0,9,0,0
902954,52,1,72,103,27,5,27,23,19,16,16,3,12,225,33,25,2,1,11,0,0
902957,1,1,30,109,19,7,35,27,27,19,25,2,16,246,37,38,6,1,7,0,0
902958,33,0,67,101,4,4,30,34,20,11,22,5,12,183,36,37,9,0,8,0,0
903009,35,0,38,124,21,4,23,24,15,15,19,4,12,225,25,23,1,0,14,0,0
903022,3,1,80,113,8,4,30,33,27,13,25,1,13,286,35,36,1,2,6,0,0
903050,2,1,33,88,23,5,36,36,27,14,25,5,13,222,39,42,1,3,5,0,0
903051,33,1,75,91,22,4,24,31,21,24,19,3,12,235,23,25,2,4,12,0,0
903065,5,1,36,96,15,2,27,35,33,17,17,5,12,199,34,35,2,5,8,1,0
903066,19,1,97,115,45,4,33,33,24,13,22,3,16,230,33,33,1,3,10,0,0
903078,9,1,97,107,13,3,32,30,21,21,16,2,16,233,21,32,1,1,9,0,0
903090,5,1,77,117,5,5,35,34,25,10,27,2,15,293,33,31,2,0,11,0,0
903096,16,1,62,97,31,8,28,24,32,16,35,3,12,192,38,29,4,2,16,0,1
903099,44,1,48,86,12,6,26,22,20,22,9,5,12,206,27,20,2,0,12,0,0
903122,11,1,98,111,32,9,28,23,20,11,28,2,16,270,26,42,2,2,5,0,0
903124,4,1,46,103,9,4,34,33,21,21,18,3,12,197,25,29,1,2,10,4,0
903130,19,1,37,102,10,4,25,27,30,10,21,5,12,204,32,40,1,1,8,0,0
903156,5,1,40,124,7,4,27,28,21,20,17,4,12,226,29,37,2,3,12,0,0
903170,7,1,76,99,5,4,18,32,24,9,13,4,12,205,35,36,2,2,8,0,0
903194,9,1,97,125,15,2,28,29,20,22,24,4,13,207,24,34,3,3,11,0,1
903195,19,1,98,101,30,2,31,34,20,16,22,3,12,229,31,31,4,2,6,0,1
903203,30,1,36,85,19,7,25,24,22,21,18,2,13,219,26,30,7,0,13,0,0
